4, 12, 8, 1, 13, 0, 21, 7, 28, 25, 22, 22, 7, 22, 28, 12, -1, 19, 7, 9, 17, 25, 19, 7, 4, 15, 9, 27, 16, 12, 3, 11, -1, 23, 3, 20, 3, 24, 1, 5
15, 11, 8, 3, 8, 22, 21, 12, 22, 5, 7, 5, 23, 25, 22, 14, 10, 10, 15, 11, 17, 16, 6, 25, 4, 25, 13, 12, 7, 4, 8, 10, 2, 12, 20, 17, 21, 21, 14, 8
18, 9, 3, 4, 20, 4, 26, 16, 13, -1, 5, 20, 13, 0, 8, 22, 2, 0, -1, 11, 6, 11, 27, 18, 15, 11, 18, 3, 25, 10, 18, -1, 8, 9, 4, 19, 11, 17, 25, 10
0, 14, 10, 2, 3, 22, 3, 12, 24, 27, 4, 23, 0, 14, -1, 11, 16, 22, 9, 28, 7, 12, 17, 19, 10, 6, 19, 17, 17, 9, 19, 26, 27, 1, 15, 22, 23, 24, 28, 23
2, 21, 28, 8, 2, 3, 10, 7, 13, 11, 11, 3, 26, 25, 0, 27, 5, 27, 3, 28, 1, 12, 24, 17, 20, 0, 28, 12, 28, 27, 5, 4, 23, 22, 17, 4, 4, 28, 15, 20
3, 8, 25, 0, 18, 10, 14, 20, 4, 2, 0, 23, 12, 15, 17, 12, 18, 2, 8, 1, 27, 7, -1, 25, 21, 18, 14, 6, 25, 7, 10, 6, -1, 8, 22, 1, 23, 9, 1, 20
20, 26, -1, 7, 11, 28, 19, 12, 3, 12, 10, 22, 4, 8, 26, 6, 19, 12, 6, 20, 24, 6, 22, 15, 8, 22, 15, 26, -1, 14, 3, 22, 4, -1, 17, 10, 6, 0, 7, 21
6, 24, 10, 28, 14, -1, 1, 21, 2, 13, 17, 12, 15, 25, 6, 6, 28, 3, 15, 20, 20, 19, 3, 25, 5, 18, 24, 2, 26, 11, 12, 16, 8, 22, 12, 8, 25, 10, 2, 22
4, 9, 11, 23, 19, 25, 0, 4, 6, 15, 6, 24, 15, 4, 9, 2, 5, 20, 14, 22, 7, 18, 4, 18, 25, 3, 23, -1, 16, 12, 2, 23, 2, 2, 8, 10, 24, 3, 2, 13
12, 22, 23, 12, 5, 27, 25, 6, 23, -1, 4, 14, 11, 3, 9, 5, 0, 15, 18, 26, 15, 11, 23, 28, 18, 9, 27, 25, 1, 27, 18, 16, 3, 17, 4, 21, 6, 21, 22, 7
12, 1, 5, 26, 23, 19, 8, 1, 6, 20, 4, 22, 27, 22, 2, 27, 15, 20, 23, -1, 21, 15, 18, 1, 18, 12, 25, 14, 6, 20, 26, 11, 24, 14, 11, 27, 7, 22, 4, 17
12, 25, 10, 13, 22, 28, 4, 26, 23, 24, 27, 8, 9, 17, 18, 2, 16, 22, 0, 12, 4, 19, 11, 6, 21, -1, -1, 4, 22, 17, 5, 2, 14, 11, 7, 5, 16, 12, -1, 19
7, 4, 6, 13, 16, 7, 16, 18, 2, 12, 24, 4, 27, 5, 0, 7, 20, 18, 16, 16, 1, 6, 14, 3, 17, 16, 27, 8, 16, 20, 14, 2, 0, 13, 26, 18, 25, 17, 16, 8
2, 19, 27, -1, 6, 17, 19, 13, 2, 2, 21, 14, 23, 0, 15, 22, 9, 6, 5, -1, 24, 4, 20, 16, 13, 24, 16, 23, 18, 27, 26, 8, 26, 28, 10, 16, 6, 25, 24, 24
0, 23, 12, 18, 20, 14, 15, 8, 24, 5, 22, 10, 14, 21, 8, 24, 20, 15, 9, 21, 7, 4, 1, 22, 12, 2, 9, 2, 5, 16, 20, 21, 13, 22, 27, 21, 14, 20, 12, 0
10, -1, 11, 21, 15, 10, 20, 8, 11, 13, 26, 26, 17, 28, 3, 28, 28, 11, 10, 2, 8, 0, 24, 2, 22, 6, 17, 27, 7, 15, 12, 27, 12, 14, 14, 20, 5, 11, 27, 24
0, 17, 10, 1, 3, 21, 16, 16, 6, 19, 19, -1, -1, 16, 7, 18, 24, 22, 11, 27, 19, 1, -1, 19, 4, 28, 14, 10, 11, 1, 15, 3, 6, 11, 14, 3, 10, 12, 11, 20
2, 13, -1, 21, 11, 16, 27, 15, 10, 26, 7, 21, 3, 5, 11, 8, 23, 27, 16, 23, 0, 1, 27, 15, 21, 0, 26, 19, 24, 14, 4, 13, 10, 21, 23, 5, 11, 19, 17, 2
24, -1, 18, 5, 12, 10, 27, 18, 25, 28, 10, 0, 9, 19, 17, 27, 13, 28, 12, 24, 8, -1, 10, 25, 23, 15, 21, 12, 1, 21, 9, 16, 0, 12, 9, 13, -1, 16, 7, 10
12, 22, 26, 25, 11, 25, 16, 6, 19, 25, 19, 8, 1, 20, 12, 8, 20, 8, 26, 0, 9, 12, 19, -1, 25, 18, 20, 28, 4, 9, 26, 19, 20, 15, 15, 18, 22, 18, 18, 11
11, 13, 24, 25, -1, 25, 11, 7, 23, 28, 18, 13, 10, 24, 11, 11, 28, 7, 26, 12, 9, 6, 14, 0, 26, 9, 19, 20, 19, 10, 17, 1, 10, 1, 2, 15, 7, -1, 26, 1
13, 13, 5, 5, 5, 13, 22, -1, 22, 6, 6, 25, 20, 9, 1, 17, 8, 10, 28, 9, 25, 3, 28, 7, 22, 27, 14, 17, -1, 23, 28, 24, 3, 27, 5, 27, 2, 4, 7, 26
4, 22, 11, 9, 21, 7, 14, 14, 20, 17, 17, 17, 21, 9, -1, 0, 20, 8, 26, 13, 4, -1, 17, 26, 8, 2, 8, 17, 27, 26, 19, 21, 22, 22, 1, 19, 8, 2, 3, -1
19, 27, 27, 13, 22, 28, 11, 9, 20, 5, 7, 19, 11, 23, 22, 1, 26, 8, 25, 4, 10, 1, 27, -1, 5, 18, -1, 14, 21, 5, 1, 10, 20, 27, 5, 19, 5, 7, -1, 15
16, 0, 27, 28, 18, 2, 18, 20, 16, -1, 18, 8, 6, 5, 0, 18, -1, 5, 16, 22, 0, 26, 10, 10, 13, 28, 0, 24, 9, -1, -1, -1, 8, 6, 17, 28, 7, 2, 20, 4
3, 4, 22, 27, 9, 28, 20, 27, 9, 14, -1, 25, 1, 17, 27, 22, 5, 4, 16, 26, 0, 6, 26, 1, 21, 21, 9, 4, 14, 9, 1, 27, 3, 17, 14, 3, 15, 16, 25, 23
22, 20, 24, 21, 12, -1, 0, 25, 28, 15, 3, 16, 28, 20, 11, 11, 10, 8, 14, 13, 12, 7, 4, 5, 14, 20, 6, 28, 28, 4, 17, 10, 0, 2, 13, 3, 13, 6, 20, 13
24, 0, 26, 21, 21, 14, 25, 26, 26, 21, 1, 8, 15, 8, 3, -1, 6, 7, 7, 22, 19, 23, 25, 13, 6, 8, 26, 24, 15, 9, -1, 5, 14, 2, 17, 17, 5, 13, 22, 12
22, 26, 3, 1, 4, 27, 13, 20, 23, 1, 7, 3, 4, 10, 22, 25, 9, 2, 9, 14, 27, 20, 27, 26, 1, 21, 10, 18, 20, 2, 20, 4, 12, 10, 15, 4, 8, 7, 21, 5
0,0
39,39
end
